LOCALIDAD	CIUDAD_BASE	LATITUD	LONGITUD	DEMANDA_PALLETS_ANUAL	POBLACION_ESTIMADA	TIPO_LOCALIDAD	CLASIFICACION_ABC	REGION	ZONA_GEOGRAFICA	DENSIDAD_DEMANDA
Centro Oeste 1	Cartagena	10.43549	-75.54791	42	1555	Rural	C	Bolívar	Caribe	0.12
Barrio Nuevo 2	Manta	-0.991836	-80.698142	83	1124	Rural	C	Manabí	Costa	0.13
Centro Sur 3	La Paz	-16.456598	-68.080011	7302	61402	Urbano	A	La Paz	Altiplano	0.1
Sector Nuevo 4	Cartagena	10.326882	-75.432361	2422	23508	Urbano	A	Bolívar	Caribe	0.09
Caserío Norte 5	Trujillo	-8.151869	-78.996162	1367	15258	Urbano	B	La Libertad	Costa	0.13
Urbanización Industrial 6	Arequipa	-16.411651	-71.530164	762	7167	Urbano	C	Arequipa	Sierra	0.11
Villa Alto 7	Huancayo	-12.080656	-75.193028	2608	51046	Urbano	A	Junín	Sierra	0.06
Sector Viejo 8	Barranquilla	10.934088	-74.689558	758	7764	Urbano	C	Atlántico	Caribe	0.15
Urbanización Central 9	Barranquilla	10.97876	-74.751155	1317	24120	Urbano	B	Atlántico	Caribe	0.14
Centro Este 10	Quito	-0.175036	-78.430506	2193	35509	Urbano	A	Pichincha	Sierra	0.14
Villa Viejo 11	Cusco	-13.631561	-71.93558	4944	734	Comercial	A	Cusco	Sierra	0.1
Zona Comercial Central 12	Bogotá	4.757055	-74.024683	1513	24446	Urbano	B	Cundinamarca	Andina	0.11
Urbanización Grande 13	Cartagena	10.399776	-75.590806	709	11380	Urbano	C	Bolívar	Caribe	0.13
Anexo Este 14	Iquitos	-3.791289	-73.301783	3298	31142	Urbano	A	Loreto	Selva	0.1
Pueblo Bajo 15	Chiclayo	-6.931591	-79.877313	894	403	Comercial	B	Lambayeque	Costa	0.1
Barrio Norte 16	Chiclayo	-6.782834	-79.795376	43	948	Rural	C	Lambayeque	Costa	0.12
Pueblo Bajo 17	Huancayo	-11.989462	-75.135827	3322	27936	Urbano	A	Junín	Sierra	0.08
Zona Comercial Este 18	Bogotá	4.713837	-74.15751	1894	24591	Urbano	B	Cundinamarca	Andina	0.1
Sector Oeste 19	Santa Cruz	-17.772605	-63.150056	452	7538	Urbano	C	Santa Cruz	Llanos	0.13
Zona Comercial Viejo 20	Quito	-0.228264	-78.517722	3895	49414	Urbano	A	Pichincha	Sierra	0.11
Villa Alto 21	Arequipa	-16.354076	-71.572234	1568	519	Comercial	B	Arequipa	Sierra	0.13
Caserío Industrial 22	Medellín	6.273717	-75.649293	4742	40681	Urbano	A	Antioquia	Andina	0.08
Centro Oeste 23	Santa Cruz	-17.790292	-63.054265	2940	29995	Urbano	A	Santa Cruz	Llanos	0.13
Zona Comercial Viejo 24	Bogotá	4.736695	-74.104586	4346	868	Comercial	A	Cundinamarca	Andina	0.14
Sector Central 25	Chiclayo	-6.75508	-79.879374	3634	989	Comercial	A	Lambayeque	Costa	0.11
Zona Comercial Oeste 26	Cuenca	-2.910512	-78.930087	13	263	Rural	C	Azuay	Sierra	0.12
Pueblo Industrial 27	Medellín	6.262456	-75.577279	4482	78451	Urbano	A	Antioquia	Andina	0.12
